Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
ACS Nano,24.2,"99.0%
1/344
General Engineering",194482.0,8028.0,86.0,2.341,4.497,American Chemical Society
Nature Communications,23.4,"97.0%
5/200
",764101.0,32699.0,87.0,3.15,4.761,Springer Nature
Journal of the American Chemical Society,22.5,"97.0%
11/441
Biochemistry",251270.0,11184.0,88.0,2.61,5.554,American Chemical Society
Sustainable Production and Consumption,22.5,"98.0%
4/219
Environmental Engineering",33212.0,1474.0,88.0,2.404,2.588,Elsevier
Journal of Advanced Research,22.1,"97.0%
6/200
",15394.0,698.0,97.0,2.516,2.576,Elsevier
Carbon,21.4,"95.0%
19/460
General Materials Science",76024.0,3551.0,92.0,1.759,2.32,Elsevier
IEEE Transactions on Sustainable Energy,21.1,"94.0%
18/297
Renewable Energy, Sustainability and the Environment",17128.0,811.0,92.0,3.215,4.261,IEEE
Chemical Engineering Journal,20.6,"97.0%
7/274
General Chemical Engineering",627417.0,30503.0,85.0,1.846,2.696,Elsevier
Science Bulletin,20.3,"96.0%
7/200
",23563.0,1159.0,89.0,2.24,2.614,Elsevier
Applied Energy,20.1,"98.0%
5/406
Management, Monitoring, Policy and Law",135329.0,6726.0,93.0,2.512,2.902,Elsevier
Energy Conversion and Management,19.8,"98.0%
2/80
Nuclear Energy and Engineering",94703.0,4787.0,92.0,2.261,2.659,Elsevier
Nano Today,19.6,"98.0%
3/185
Pharmaceutical Science",23189.0,1185.0,84.0,1.628,2.962,Elsevier
Science Advances,19.6,"96.0%
8/200
",168617.0,8602.0,87.0,2.636,4.324,American Association for the Advancement of Science
National Science Review,19.5,"95.0%
9/200
",21653.0,1112.0,88.0,2.481,2.903,Oxford University Press
ACS Central Science,19.3,"96.0%
9/274
General Chemical Engineering",15659.0,810.0,86.0,1.923,3.286,American Chemical Society
Journal of Colloid and Interface Science,18.5,"95.0%
6/132
Surfaces, Coatings and Films",160551.0,8671.0,94.0,1.324,1.885,Elsevier
Renewable Energy,17.6,"98.0%
7/344
General Engineering",130366.0,7425.0,88.0,2.035,2.08,Elsevier
Sustainable Energy Technologies and Assessments,17.3,"95.0%
13/299
Energy Engineering and Power Technology",49244.0,2845.0,92.0,1.713,1.606,Elsevier
CCS Chemistry,17.1,"93.0%
26/404
General Chemistry",18053.0,1055.0,95.0,1.276,2.624,Chinese Chemical Society
Nano Research,17.1,"97.0%
11/443
Condensed Matter Physics",67192.0,3918.0,91.0,1.269,2.367,Tsinghua University Press
Materials Today Physics,17.1,"98.0%
2/87
Physics and Astronomy (miscellaneous)",19910.0,1166.0,89.0,1.71,2.278,Elsevier
Journal of Materials Chemistry A,16.7,"93.0%
27/404
General Chemistry",157401.0,9410.0,84.0,1.335,2.462,Royal Society of Chemistry
Materials Today Energy,16.7,"96.0%
3/80
Nuclear Energy and Engineering",17797.0,1067.0,89.0,1.292,2.116,Elsevier
Proceedings of the National Academy of Sciences of the United States of America,16.5,"95.0%
10/200
",226600.0,13719.0,87.0,2.383,3.414,National Academy of Sciences
Energy,16.5,"99.0%
2/361
Modeling and Simulation",235823.0,14307.0,88.0,2.164,2.211,Elsevier
Small,16.1,"94.0%
19/314
Biotechnology",163984.0,10192.0,86.0,1.675,3.301,John Wiley & Sons
Green Chemistry,16.1,"93.0%
12/176
Pollution",55274.0,3431.0,88.0,1.672,1.928,Royal Society of Chemistry
